E,N_nu 235U,N_nu 239Pu,N_nu 238U,N_nu 241Pu
1.750000000,2.957000000,2.537000000,3.444000000,2.991000000
2.000000000,1.990000000,1.691000000,2.381000000,2.050000000
2.250000000,1.339000000,1.127000000,1.646000000,1.405000000
2.500000000,0.976200000,0.809700000,1.231000000,1.035000000
2.750000000,0.754200000,0.615100000,0.974800000,0.803000000
3.000000000,0.600700000,0.480700000,0.795500000,0.639000000
3.250000000,0.509700000,0.393700000,0.681200000,0.535000000
3.500000000,0.413400000,0.308900000,0.560200000,0.427400000
3.750000000,0.332000000,0.239500000,0.455700000,0.338600000
4.000000000,0.266000000,0.184900000,0.369900000,0.267600000
4.250000000,0.212100000,0.141700000,0.299900000,0.209900000
4.500000000,0.167800000,0.106600000,0.242600000,0.162500000
4.750000000,0.130800000,0.079160000,0.192000000,0.124000000
5.000000000,0.103700000,0.059860000,0.153300000,0.096230000
5.250000000,0.083030000,0.046650000,0.123800000,0.075620000
5.500000000,0.066480000,0.036860000,0.100100000,0.059330000
5.750000000,0.052350000,0.028380000,0.079560000,0.045380000
6.000000000,0.039260000,0.020130000,0.060440000,0.033020000
6.250000000,0.029610000,0.014860000,0.046770000,0.024400000
6.500000000,0.021400000,0.010580000,0.034480000,0.017350000
6.750000000,0.014730000,0.007157000,0.024130000,0.011750000
7.000000000,0.010190000,0.004853000,0.017090000,0.007970000
7.250000000,0.007467000,0.003517000,0.013000000,0.005731000
7.500000000,0.004473000,0.002016000,0.008053000,0.003398000
7.750000000,0.002596000,0.001121000,0.004905000,0.002014000
8.000000000,0.001350000,0.000632800,0.002792000,0.001136000
8.250000000,0.000670600,0.000362400,0.001482000,0.000621600
8.500000000,0.000346200,0.000201400,0.000757200,0.000336700
8.750000000,0.000183700,0.000101100,0.000399400,0.000177100
9.000000000,0.000069510,0.000032820,0.000163500,0.000065030
9.250000000,0.000029300,0.000012670,0.000072130,0.000025990