E,N_nu (near),N_nu (far)
1.904330764,25.94175888,16.6272948
2.100872326,27.33045902,15.77663983
2.297465331,27.50477197,16.73026926
2.499320218,25.59034419,13.83669895
2.701072219,26.09257705,14.29411472
2.902905058,24.75755709,14.47955113
3.109904243,23.64489644,14.10286868
3.311722384,22.73055579,14.19542417
3.508432973,20.60234164,12.53410577
3.705136214,18.79593899,13.29173809
3.907049892,16.59605282,11.3584219
4.114129916,14.74974128,9.455632168
4.310752317,14.4604523,9.209690431
4.507609886,11.4992672,8.681503304
4.709575008,9.698946478,6.903720861
4.906270899,8.906619859,6.593452019
5.113350922,7.915758042,5.561237554
5.320592623,6.092170361,4.629538721
5.512129519,5.521799955,3.730009458
5.703886884,4.113030558,3.024983829
5.905771167,3.727918131,3.044277096
6.097521183,2.795043335,2.53430484
6.289028683,2.600523744,2.109762292
6.491023201,2.13673947,1.899743399
6.693105906,1.623122793,1.733166501
6.884855923,1.2169523,1.006854916
7.061099557,0.9005756708,0.7117494902
7.268172231,0.8056394355,0.5030337764
7.485224843,0.999545635,0.6079944411
7.682405767,0.5960611056,0.4105411515